name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
Let's Dance - Radio Edit,Let's Dance,Five,2001-01-16,218626,43,0.631,0.00868,0.631,0.821,0.000287,0.293,-7.852,0.0868,118.003,4
Irresistible,Irresistible,Jessica Simpson,2001-01-01,194026,40,0.657,0.0285,0.657,0.965,8.84E-05,0.0552,-2.771,0.0556,93.013,4
Queen of My Heart - Radio Edit,World of Our Own (Expanded Edition),Westlife,2001-11-12,259186,51,0.514,0.143,0.514,0.497,0,0.13,-6.071,0.0264,109.085,3
What Would You Do?,20 #1's: Modern Hip-Hop,Various Artists,2015-06-16,175400,50,0.738,0.244,0.738,0.776,0,0.469,-7.32,0.235,95.942,4
It Wasn't Me,Hot Shot,Shaggy,2000-08-08,227600,75,0.853,0.0561,0.853,0.606,0,0.313,-4.596,0.0713,94.759,4
All I Want - Sunship Radio Edit,Mis-Teeq,Mis-Teeq,2004-07-13,207400,47,0.795,0.37,0.795,0.919,0.00863,0.189,-3.07,0.0835,134.079,4
I'm Real (feat. Ja Rule) - Murder Remix,J.Lo,Jennifer Lopez,2001-01-23,262133,63,0.708,0.273,0.708,0.587,0,0.0718,-7.93,0.151,83.46,4
Your Body Is a Wonderland,Room For Squares,John Mayer,2001-08-16,249626,75,0.647,0.0206,0.647,0.729,0.0489,0.134,-6.251,0.0236,94.01,4
Everytime You Need Me - Radio Version,Toca,Fragma,2001-02-05,213346,48,0.682,0.15,0.682,0.917,0.0676,0.34,-5.459,0.0318,137.029,4
You Rock My World,Invincible,Michael Jackson,2001-10-29,337733,64,0.854,0.038,0.854,0.673,0.000227,0.255,-3.132,0.185,95,4
Angel,Hot Shot,Shaggy,2000-08-08,235133,71,0.74,0.116,0.74,0.766,0,0.0406,-2.939,0.178,170.531,4
Don't Tell Me,Music,Madonna,2000-09-19,280973,53,0.699,0.0502,0.699,0.618,0.000925,0.0914,-7.338,0.0594,99.965,4
Gotta Get Thru This - D'N'D Radio Edit,Gotta Get Thru This,Daniel Bedingfield,2002-01-01,162333,45,0.836,0.0826,0.836,0.762,5.48E-05,0.102,-5.044,0.0598,133.592,4
No More (Baby I'ma Do Right),3LW,3LW,2000-11-06,263440,55,0.721,0.102,0.721,0.723,4.40E-06,0.0651,-7.08,0.0631,88.933,4
Hit 'Em Up Style (Oops!),So Blu,Blu Cantrell,2001-01-18,250706,61,0.667,0.201,0.667,0.773,0,0.404,-4.983,0.0586,89.976,4
